project_name,project_number,council_district,project_category,project_location,likely_active_transportation,at_keywords_matched,prior_year_project_cost,unused_funds,five_year_plan_total,remaining_needed,five_year_total_sum_of_rows,gis_project_number,fund_code,funding_source,fy2025_26,fy2026_27,fy2027_28,fy2028_29,fy2029_30,row_5yr_total
ADA Ramp Replacement and Sidewalks In-fill,902134400212,1-4,TransNet Program,Citywide,True,ada ramp;pedestrian;sidewalks,725567.0,211487.0,2211487.0,2000000.0,2000000.0,,212,TransNet Fd,400000.0,400000.0,400000.0,400000.0,400000.0,2000000.0
Residential Traffic Safety Improvements,902135500212,All,TransNet Program,Citywide,True,pedestrian;school zone;speed control;traffic calming,289507.0,283583.0,1533583.0,1250000.0,1250000.0,,212,TransNet Fd,250000.0,250000.0,250000.0,250000.0,250000.0,1250000.0
Bicycle Master Plan/Bike Safety,902135600212,All,TransNet Program,Citywide,True,active transportation;bicycle;bike;pedestrian,191990.0,156438.0,1031438.0,875000.0,875000.0,,212,TransNet Fd,175000.0,175000.0,175000.0,175000.0,175000.0,875000.0
Pier View Way Bridge PDR,902157419212-,1,TransNet Program,Pier View Way Bridge,False,,726743.0,246743.0,246743.0,0,0,,212,TransNet Fd,0,0,0,0,0,0
Coast Highway Corridor Design,902162120212,"1,3",TransNet Program,Coast Highway Corridor,False,,2391371.0,1891371.0,1891371.0,0,0,CIP22-00006,212,TransNet Fd,0,0,0,0,0,0
Coastal Rail Trail Design,902162320212,3,TransNet Program,Oceanside Blvd. & Morse Street,True,rail trail;trail,66511.0,141.0,25141.0,25000.0,25000.0,,212,TransNet Fd,25000.0,0,0,0,0,25000.0
El Corazon North Roundabout,902165620212,4,TransNet Program,3302 Senior Center Drive,False,,1178609.0,22445.0,22445.0,0,0,,212,TransNet Fd,0,0,0,0,0,0
Loma Alta Bike Trail,902165720212,3,TransNet Program,Loma Alta Creek,True,bike;trail,509468.0,509468.0,509468.0,0,0,,212,TransNet Fd,0,0,0,0,0,0
Cassidy Street Bridge Overcrossing Replacement - Design,902189124212,3,TransNet Program,Between Myers Street and Pacific Street,True,bicycle;pedestrian,300000.0,289904.0,939904.0,650000.0,650000.0,,212,TransNet Fd,500000.0,150000.0,0,0,0,650000.0
Reclaimed Water Conversion for Medians/Parkways,902199125212,"1,2,3,4",TransNet Program,Coco Palms Drive and El Camino Real (SR76 to,False,,0,0,150000.0,150000.0,150000.0,,212,TransNet Fd,150000.0,0,0,0,0,150000.0
Crown Heights Pedestrian Lighting,902199225212,1,TransNet Program,Crown Heights Neighborhood,True,pedestrian;sidewalk,0,0,500000.0,500000.0,500000.0,,212,TransNet Fd,500000.0,0,0,0,0,500000.0
Apple Street Improvement,902199325212,1,TransNet Program,Apple Street between Goat Hill & Greenbriar,True,ada ramp;sidewalk,0,0,700000.0,700000.0,700000.0,CIP23-00025,212,TransNet Fd,700000.0,0,0,0,0,700000.0
Traffic Barriers @ El Camino Real & Oceanside Blvd,902199425212,PROJECT CATEGORY,TransNet Program,The northeast corner of ECR & Oside Blvd,True,pedestrian,0,0,300000.0,300000.0,300000.0,,212,TransNet Fd,300000.0,0,0,0,0,300000.0
Crosswalk @ Whaley St & Coast Hwy Design,902200425212,PROJECT CATEGORY,TransNet Program,Whaley and S. Coast Highway,True,crosswalk;pedestrian,0,0,200000.0,200000.0,200000.0,,212,TransNet Fd,200000.0,0,0,0,0,200000.0
Street Restoration Asphalt Overlay,902754200212,All,TransNet Program,Citywide,False,,2472537.0,2146846.0,9746846.0,7600000.0,7600000.0,,212,TransNet Fd,2000000.0,1800000.0,1800000.0,2000000.0,0,7600000.0
Douglas Drive Seismic Retrofit,914560800212,"2, 4",TransNet Program,Douglas Drive over San Luis Rey River,False,,1203269.0,1182810.0,2507810.0,1325000.0,1325000.0,CIP11-00010,212,TransNet Fd,200000.0,50000.0,75000.0,1000000.0,0,1325000.0
North Coast Highway Bridge Seismic Retrofit,914560900212,1,TransNet Program,Coast Hwy at San Luis Rey River,False,,742172.0,712172.0,1160172.0,448000.0,448000.0,,212,TransNet Fd,25000.0,40000.0,33000.0,350000.0,0,448000.0
Asphalt Overlay - SB1,902155518265,Various,SB1 Program,Citywide,False,,1301323.0,389555.0,7539555.0,7150000.0,7150000.0,,265,SB1 RMRA Gas Tax Fd,1250000.0,1500000.0,1400000.0,1500000.0,1500000.0,7150000.0
ADA for Overlay,902157619265,ALL,SB1 Program,Citywide,True,pedestrian;sidewalk,565601.0,325561.0,2075561.0,1750000.0,1750000.0,,265,SB1 RMRA Gas Tax Fd,550000.0,300000.0,300000.0,300000.0,300000.0,1750000.0
Storm Drain Improvements,902158319265,All,SB1 Program,Citywide,False,,571308.0,289302.0,2789302.0,2500000.0,2500000.0,,265,SB1 RMRA Gas Tax Fd,500000.0,500000.0,500000.0,500000.0,500000.0,2500000.0
Street Monument Preservation,902162720265,All,SB1 Program,Citywide,False,,43900.0,43900.0,203900.0,160000.0,160000.0,,265,SB1 RMRA Gas Tax Fd,0,40000.0,40000.0,40000.0,40000.0,160000.0
Pavement Management Program,902162820265-,All,SB1 Program,Citywide,False,,305840.0,11000.0,11000.0,0,0,,265,SB1 RMRA Gas Tax Fd,0,0,0,0,0,0
Street and Median Maintenance - SB1,902165520265,All,SB1 Program,Citywide,False,,414085.0,0,2000000.0,2000000.0,2000000.0,,265,SB1 RMRA Gas Tax Fd,400000.0,400000.0,400000.0,400000.0,400000.0,2000000.0
Laurel Elementary Safe Routes to School - City Match,902169320265,1,SB1 Program,Laurel Street,True,ada ramp;bike;crosswalks;pedestrian;safe routes;sidewalk;traffic calming,13000.0,4400.0,4400.0,0,0,CIP22-00003,265,SB1 RMRA Gas Tax Fd,0,0,0,0,0,0
Inland Rail Trail - City Match,902188223265,1,SB1 Program,Various,True,bike;rail trail;trail,56809.0,29700.0,29700.0,0,0,,265,SB1 RMRA Gas Tax Fd,0,0,0,0,0,0
McNeil Street Construction,902191324265,1,SB1 Program,"McNeil Street, Oceanside, California",True,sidewalk,300000.0,16500.0,1516500.0,1500000.0,1500000.0,,265,SB1 RMRA Gas Tax Fd,1500000.0,0,0,0,0,1500000.0
Guardrail-Olive Road Between Gem Drive and Emerald Drive,902191824265,PROJECT CATEGORY,SB1 Program,Olive Road Between Gem and Emerald,False,,150000.0,129632.0,150632.0,21000.0,21000.0,,265,SB1 RMRA Gas Tax Fd,21000.0,0,0,0,0,21000.0
SS4- A-City Match,902195724265,"1,2,3, &4",SB1 Program,Citywide,False,,100000.0,100000.0,100000.0,0,0,,265,SB1 RMRA Gas Tax Fd,0,0,0,0,0,0
Crosswalk@ S. Coast Highway and Loma Alta Creek,902200925265,PROJECT CATEGORY,SB1 Program,S. Coast Highway and Loma Alta Creek,True,ada ramp;bike;crosswalk;pedestrian,0,0,200000.0,200000.0,200000.0,,265,SB1 RMRA Gas Tax Fd,200000.0,0,0,0,0,200000.0
