project_number,name,type,current_phase,description,location,district,schedule_begin_season,schedule_end_season,begin_year,end_year,recent_update,fund_source_1,fund_source_2,fund_source_3,fund_source_4,fund_source_5,fund_source_6,utility_type,project_webpage,notice_complete_date,project_manager,last_edited_date,gis_geometry_types,cost_usd,likely_active_transportation
CIP21-00007,CDBG Brooks Street ADA,CIP_ENG,,,,District 1,,,,,,,,,,,,,,,,2026-04-05,polygon,,False
CIP17-00007,Cleveland Storm Drain,Drainage,Design,This project provides for the installation of new storm drain facilities and replacement of failling corrugated metal pipes.,Cleveland Street and Surfrider Way,District 1,WINTER,SPRING,2021,2026,Project is currently working towards receiving a Coastal Development Permit.,Citywide Drainage,,,,,,,,,vvelasco,2026-04-05,line;polygon,,False
CIP22-00005,Full Capture Devices R2,Drainage,Complete,City-wide,Citywide,Multiple Districts,FALL,SUMMER,2022,2023,Construction is complete.,SB-1,,,,,,,,2023-09-12,vvelasco,2026-04-05,point;polygon,,False
CIP23-00004,Sleeping Indian & North River Road,Drainage,Design,This project provides for design of storm drain upgrades at five points dischage in the tnersections of North River Roda and Sleeping Indian Road,Intersection of Sleeping Indian Road and North River Road,District 2,,,,,Awaiting Environmental Clearance for the proposed project.,,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP23-00007,South Nevada Street Drainage Improvements,Drainage,Design,This project provides for the design of drainage improvements in South Nevada Street and a drainage redirection through CAssidy Street.,South Nevada Street and Cassidy Street,District 3,WINTER,FALL,2024,2025,100% plans to be submitted to SDG&E for final review,,,,,,,,,,emedina,2026-04-05,line;polygon,,False
CIP23-00014/CIP23-00026,Strawberry Place and El Camino Storm Drain Repair,Drainage,Complete,Strawberry Place storm drain repair Storm Drain Repair is a slip lining project designed to repair a failing corrugated metal storm drain pipe.,2956 Strawberry Place & 2040 El Camino Real,District 3,,,,,Strawberry Place and El Camino Real construction is complete. Project is in close-out.,,,,,,,,,,dpoulton,2026-04-05,point;polygon,,False
CIP23-00021,Full Trash Capture Devices Round 3,Drainage,Complete,This project provides for the 3rd round of trash capture device installation as mandated by state laws.,City-wide,Multiple Districts,WINTER,SPRING,2024,2024,Round 3 installation is complete,Other,,,,,,,,2024-06-07,mhernandez,2026-04-05,point;polygon,,False
CIP24-00023,Buena Vista Weir,Drainage,Study,"This project allowed for steel plates to be placed along the face of the timber weir after planks were broken which resulted in the lagoon to be partially flushed into the Pacific Ocean. The project will also seek a ""more permanent"" solution.",Saint Malo Beach,District 3,,,,,"Making CEQA Determination and submitting permit applications to CCC, Water Board, USACE, and CDFW for the ""more permanent"" solution highlighted above.",,,,,,,,,,lcardenas,2026-04-05,line;polygon,,False
CIP18-00018,Fire Station No. 1,Facilities,Complete,410 Freeman St,410 Freeman St,District 1,,,,,,,,,,,,,,2024-12-04,bthomas,2026-04-05,point;polygon,,False
CIP19-00011,Pier View Way Bridge and Lifeguard Headquarters Project,Facilities,Design,"This project provides for preliminary design, environmental clearance and permitting for the reconstruction of the concrete bridge connecting Pacific Street to the Pier. This project also provides for the reconstruction of the Lifeguard Headquarters and a new Lifeguard Service Facility on the east side of the Strand.",Oceanside Pier,District 1,SUMMER,,2021,,The project is in the Environmental and Preliminary Design Phase. This preliminary phase is expected to be complete in Summer 2026.,Measure X,,,,,,,https://www.ci.oceanside.ca.us/government/development-services/engineering/special-projects-news/pier-view-way-bridge-and-lifeguard-headquarters,,kcorbin,2026-04-05,line;polygon,,False
CIP19-00018,OPD HQ Expansion Relocation Study,Facilities,Design,"This project provides for completion of a study to determine the necessary expansion(s) and assess future, long term relocation options for the Oceanside Police Department Headquarters. The Oceanside Police Department Improvements project includes improvements to the evidence room and property storage at the City Operation Center and the addition of a staff restroom.",1280 Rancho del Oro Rd,District 4,,,,,,,,,,,,,,,bthomas,2026-04-05,point;polygon,,False
CIP19-00024,Fire Station No. 4 Phase II Remodel,Facilities,Complete,"This project provides for the repair of fire station deficiencies, including roofing repairs, HVAC cleaning, ceiling tile replacement, flooring, and wall repairs.",3990 Lake Road,District 3,WINTER,SUMMER,2022,2023,Construction is complete.,Muni. Facilities,,,,,,,,,lcardenas,2026-04-05,point;polygon,,False
CIP21-00006,Beachfront Improvements Feasibility Study - Phase II,Facilities,Design,"This project provides for preliminary design, environmental clearance and permitting for the Beachfront Improvement Phase II area. The Phase II area includes the Junior Seau Beach Community Center, Amphitheater/Bandshell, Pier Plaza, and public sections located in between. This project will advance the conceptual renderings to more detailed architectural and engineering project plans.",250 N The Strand,District 1,,,,,The project is in the Environmental and Preliminary Design Phase. This phase is anticipated to be complete in Summer 2026.,Measure X,,,,,,,https://www.ci.oceanside.ca.us/government/development-services/engineering/special-projects-news/beachfront-improvements-feasibility-study-phase-2,,kcorbin,2026-04-05,point;polygon,,False
CIP21-00008,Crown Heights Rehab Phase II,Facilities,Design,"The project consists of the preparation of plans for the rehabilitation of the Crown Heights Community Resource Center Building. The proposed repairs consist of restroom repairs, roofing, plumbing, electrical, lighting, and fire suppression.",1210 Division Street,District 1,WINTER,WINTER,2022,2024,Construction is on-going.,American Rescue Plan Act,Community Development Block Grant,,,,,,,,vvelasco,2026-04-05,point;polygon,,False
CIP21-00015,Code Enforcement - Phase 3 Trailer Remodel,Facilities,Complete,3131 Oceanside Blvd,3131 Oceanside Blvd,District 3,,,2023,2024,,,,,,,,,,,mhernandez,2026-04-05,point;polygon,,True
CIP21-00019,Fire Station 8,Facilities,Design,"This project provides for the design of an approximately 19,000 SF fire station bounded by Old Grove Road to the north, Trestle Street to the west, Rocky Point Drive to the south, and the Front Wave Credit Union to the east. The project site is a share site with Recycled Water Reservoir",Trestles Street,District 4,,,,,"Working to finalize plans, receive approval from Building & Engineering Dept, and receive final plans from SDG&E",Muni. Facilities,,,,,,,,,kcorbin,2026-04-05,point;polygon,,False
CIP21-00022,Library Courtyard,Facilities,Complete,This project provides for improvements to the existing Civic Center Library Courtyard to better accommodate Library sponsored events.,300 N Coast Hwy,District 1,,SUMMER,2021,2024,Construction is complete.,Muni. Facilities,,,,,,,,2024-11-05,kcorbin,2026-04-05,point;polygon,,False
CIP22-00002,Brooks Street Swim Center Renovations,Facilities,Complete,The project consisted of renovating and re-plastering the Brooks Street Pool.,130 Brooks St,District 1,FALL,WINTER,2022,2024,Construction is complete.,Parks,Other,,,,,,,2024-03-05,kcorbin,2026-04-05,point;polygon,,False
CIP23-00006,Junior Lifeguard Headquarter and Restroom,Facilities,Study,"This project provides for project design, construction, and project closeout costs associated with the Junior Lifeguard Headquater and restroom replacement. The current Jr. Lifeguard Program operates from multiple facilities and it is necessary to consolidate the operations for better functionality and efficiency.",1950 N Harbor Drive,District 1,,,,,Project on hold. Awaiting direction regarding the Marine Safety Unit project.,,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP23-00027,Various Gym Study & Preliminary Design,Facilities,Study,The project provides for a study and preliminary design of El Corazon Civic Services Site 3,El Corazon,District 4,,,,,RFP is drafted.,Parks,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP24-00006,Fire Training Center Buildings,Facilities,Study,This project provides for the replacement of modular buildings at the Fire Training Center with permanent buildings.,Jones Road,District 1,,,,,Working to underground utilities and determine a feasible concept plan.,,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP24-00011,Oceanside Pier and Restaurant - Kiosk Demolition,Facilities,Design,This project provides the demolition of the hammerhead portion of the Oceanside Pier and Restaurant-Kiosk to include over-water demolition and removal of fire damaged property.,928 N Coast Hwy,District 1,,,,,Demolition of the fire-impacted areas is complete. Efforts to reconstruct the hammerhead of the Pier are in progress.,Other,,,,,,,,,bthomas,2026-04-05,point;polygon,,False
CIP24-00016,Mission Branch Library Restrooms,Facilities,Design,Public restrooms in Mission Branch Library to be remodeled following the library strategic plan 2024-2028,3861 Mission Ave,District 2,SPRING,SPRING,2025,2026,Project is in the 60% design phase.,Other,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP24-00020,Marine Safety Unit Modular Unit (formerly Harbor Renovations),Facilities,Design,Remodel/renovations to the Harbor HQ building located at 1540 Harbor Drive to accommodate Marine Safety Unit (MSU) staff and their 24/7 housing needs. May also require TI's to Harbor staff area to accommodate staff areas being relocated.,1540 Harbor Drive,District 1,,,,,Preparing Request for Proposal to on-board design consultant,,,,,,,,,,emedina,2026-04-05,point;polygon,,False
CIP13-00017,Fire Mountain Undergrounding Project (Rule 20B),Other,Design,A combined coordination of overhead utilities to be placed underground from Brichwood to Via Esmarcaalong Fire Mountain Rd,Fire Mountain Dr from Birchwood Way to and Via Esmarca,District 3,,,,,,Other,,,,,,,,,kcorbin,2026-04-05,line;polygon,,False
CIP14-00013,Quiet Zone Re-Certification,Other,Study,This project will re-certify the Downtown Oceanside railroad quiet zone to maintain compliance with Federal Railroad Administration requirements.,"Surfrider Way, Mission Ave, Wisconsin Ave, Oceanside Blvd and Cassidy Street",District 1,SUMMER,SUMMER,2024,2025,Working with consultant on document review and field conditions assessment,Other,,,,,,,,,mhernandez,2026-04-05,point;polygon,,False
CIP15-00018,Oceanside Blvd & Crouch St Undergrounding Project (Rule 20 A),Other,Design,A combined coordination of overhead utilities to be placedunderground from rom Greenbrier to Crouch Street along Oceanside Blvd.,From Greenbrierto Crouch Street along Oceanside Blvd.,Multiple Districts,,,,,Project is in design with SDG&E,Other,,,,,,,,,kcorbin,2026-04-05,line;polygon,,False
CIP20-00007,Street Market Bollards,Other,Complete,This project provides funding for the purchase of barriers for the Downtown markets (Morning Farmer's Market and Sunset Market).,Multiple locations at Farmers Market and Sunset Market Street Entrances and Intersections.,District 1,,SPRING,,2025,Barriers have been purchased.,Misc. City Capital,,,,,,,,,abartleet,2026-04-05,point;polygon,,False
