meeting_date,meeting_id,pdf_file,item_number,item_title,motion_summary,outcome,vote_count_for,vote_count_against,mover,seconder,SANCHEZ,KEIM,JOYCE,ROBINSON,WEISS,FIGUEROA,RODRIGUEZ,notes
2022-12-14,1255598,2022-12-14_id-1255598.pdf,1,City Council: Adoption of a resolution certifying the results of the City's General,Keim,APPROVED,4,0,KEIM,WEISS,Yes,Yes,NotOnCouncil,Yes,Yes,NotOnCouncil,Absent,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,4,City Council/Harbor/CDC/OPFA: Approval to waive reading of the text of all ordinances and,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,5,City Council/Harbor/CDC/OPFA: Acceptance of City Clerk's Action Minutes of the Small Craft Harbor,Motion to approve minutes with the change to Item #30 changing the vote from 4-0 to 3-1 with Sanchez voting no,APPROVED,5,0,SANCHEZ,WEISS,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,6,"City Council: Approval of a purchase order, in the amount of $80,070, to Zoll Medical Corporation",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,7,"City Council: Approval of a purchase order, in an amount not-to- exceed $84,843, to Cart Mart Inc.",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,8,"HDB: Approval of a purchase order, in an amount not to exceed $171,000, to Kassbohrer All-",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,9,"City Council: Approval of a purchase order, in an amount not to exceed $173,779, to Ken Grody",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,10,City Council: Approval of Change Order No. 1 to the Public Works Agreement with TC Construction,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,11,City Council: Approval of Contract Change Order No. 2 to the Public Works Agreement with Tri-,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,12,"City Council: Approval of Amendment 1, in the amount of $107,723, to the Professional Services",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,13,"HDB: Approval of a two-year Professional Services Agreement with Gatekeepers Security Services,",Keim,APPROVED,4,1,KEIM,WEISS,Yes,Yes,No,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,14,"City Council: Approval of a Public Works Agreement with Battista Floor Covering, LLC, in the amount",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,15,"City Council: Approval of a Professional Services Agreement with Chandler Asset Management, Inc.",Keim,APPROVED,5,0,KEIM,SANCHEZ,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,16,"City Council: Approval of an appropriation of $1,724,067 from the unassigned General Fund",Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,17,City Council: Adoption of a resolution approving Final Map No. RT15-0001 for the North Beach,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,18,City Council: Adoption of a resolution approving a four-year lease agreement with the option to,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,19,City Council: Approval of the addition of three full-time EMT-I positions as part of the American,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,20,City Council: Approval and adoption of a resolution implementing the revised Personnel Rules and,Motion to approve and adopt resolution with change to,APPROVED,5,0,ROBINSON,SANCHEZ,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,21,City Council: Approval and adoption of the revised City of Oceanside Salary Schedule effective,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,22,City Council: Acceptance of the first quarter Financial Status Report and approval of the budget,Approve Consent Calendar,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 6-12,14, 16-19, 21-22"
2022-12-21,1255599,2022-12-21_id-1255599.pdf,23,"City Council: Approval of the addition of an Assistant Police Chief, Police Lieutenant, and Police",Keim,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,27,City Council: Adoption of an Ordinance authoring the levy of a special tax within the City of,Keim,APPROVED,5,0,KEIM,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2022-12-21,1255599,2022-12-21_id-1255599.pdf,28,City Council: Adoption of an ordinance to amend Chapter 14C of the Oceanside City Code to,Weiss,APPROVED,3,2,WEISS,KEIM,No,Yes,No,Yes,Yes,NotOnCouncil,NotOnCouncil,
2023-01-11,1255600,2023-01-11_id-1255600.pdf,4,City Council/Harbor/CDC/OPFA: Approval to waive reading of the text of all ordinances and,Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,consent batch for items 4-8
2023-01-11,1255600,2023-01-11_id-1255600.pdf,5,City Council/Harbor/CDC/OPFA: Acceptance of City Clerk's Action Minutes of the Small Craft Harbor,Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,consent batch for items 4-8
2023-01-11,1255600,2023-01-11_id-1255600.pdf,6,"City Council: Approval of a purchase order, in an amount not to exceed $115,898, to Ken Grody",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,consent batch for items 4-8
2023-01-11,1255600,2023-01-11_id-1255600.pdf,7,"City Council: Approval of two purchase orders: 1) in an amount not to exceed $30,949, to Enterprise",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,consent batch for items 4-8
2023-01-11,1255600,2023-01-11_id-1255600.pdf,8,"City Council: Award of a Public Works Agreement, in the amount of $205,950, to A.B. Hashmi Inc.,",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,consent batch for items 4-8
2023-01-11,1255600,2023-01-11_id-1255600.pdf,9,City Council: Adoption of the Resolution of Intention declaring its intention to establish City of,Weiss,APPROVED,5,0,WEISS,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2023-01-11,1255600,2023-01-11_id-1255600.pdf,10,City Council: Adoption of a resolution upholding Planning Commission Resolutions No. 2022-P26,Motion to adopt the resolution and affirm the Planning,APPROVED,4,1,WEISS,ROBINSON,No,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2023-01-11,1255600,2023-01-11_id-1255600.pdf,11,"City Council/CDC: Introduction of an ordinance amending Articles 10, 10C and 31 of the Zoning",Keim,APPROVED,4,1,KEIM,ROBINSON,No,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2023-01-11,1255600,2023-01-11_id-1255600.pdf,12,City Council: Confirmation of issuance of a Class 1 “Existing Facilities” Categorical Exemption per,Sanchez,APPROVED,5,0,SANCHEZ,ROBINSON,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,
2023-01-25,1255709,2023-01-25_id-1255709.pdf,5,City Council/Harbor/CDC/OPFA: Approval to waive reading of the text of all ordinances and,Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 5-16, 18-22"
2023-01-25,1255709,2023-01-25_id-1255709.pdf,6,City Council/Harbor/CDC/OPFA: Acceptance of City Clerk's Action Minutes of the Small Craft Harbor,Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 5-16, 18-22"
2023-01-25,1255709,2023-01-25_id-1255709.pdf,7,"City Council: Approval of a purchase order in the amount of $146,455 to Cross Communications",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 5-16, 18-22"
2023-01-25,1255709,2023-01-25_id-1255709.pdf,8,"City Council: Approval of a purchase order, in an amount not to exceed $564,652, to Axon",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 5-16, 18-22"
2023-01-25,1255709,2023-01-25_id-1255709.pdf,9,"City Council: Approval of a purchase order, in the amount of $108,804, to OnPoint Innovative",Approve Consent Calendar,APPROVED,5,0,WEISS,KEIM,Yes,Yes,Yes,Yes,Yes,NotOnCouncil,NotOnCouncil,"consent batch for items 5-16, 18-22"
